GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DesafioBackendSicredi,com.sicredi.desafio_sicredi.dto,SessaoVotacaoResponseDTO,20,33,0,0,10,12,5,6,5,6
DesafioBackendSicredi,com.sicredi.desafio_sicredi.dto,VotoResponseDTO,19,27,0,0,10,10,5,5,5,5
DesafioBackendSicredi,com.sicredi.desafio_sicredi.dto,SessaoEncerradaDTO,24,12,0,0,10,5,7,1,7,1
DesafioBackendSicredi,com.sicredi.desafio_sicredi.dto,StatusVotacao,34,0,0,0,4,0,1,0,1,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.dto,PautaResponseDTO,33,0,0,0,14,0,7,0,7,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.model,OpcaoVoto,0,24,0,0,0,3,0,1,0,1
DesafioBackendSicredi,com.sicredi.desafio_sicredi,DesafioSicrediApplication,5,3,0,0,2,1,1,1,1,1
DesafioBackendSicredi,com.sicredi.desafio_sicredi.exception,GlobalExceptionHandler,93,121,0,0,19,23,3,5,3,5
DesafioBackendSicredi,com.sicredi.desafio_sicredi.exception,SessaoEncerradaException,0,4,0,0,0,2,0,1,0,1
DesafioBackendSicredi,com.sicredi.desafio_sicredi.exception,VotoDuplicadoException,0,4,0,0,0,2,0,1,0,1
DesafioBackendSicredi,com.sicredi.desafio_sicredi.exception,SessaoNaoEncontradaException,0,4,0,0,0,2,0,1,0,1
DesafioBackendSicredi,com.sicredi.desafio_sicredi.exception,PautaNaoEncontradaException,0,4,0,0,0,2,0,1,0,1
DesafioBackendSicredi,com.sicredi.desafio_sicredi.service,VotoService,0,105,1,5,0,26,1,6,0,4
DesafioBackendSicredi,com.sicredi.desafio_sicredi.service,SessaoVotacaoService,47,65,2,4,13,14,2,5,0,4
DesafioBackendSicredi,com.sicredi.desafio_sicredi.service,PautaService,47,0,0,0,8,0,4,0,4,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.service,KafkaConsumerService,33,0,0,0,9,0,4,0,4,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.service,SessaoScheduler,66,0,4,0,19,0,7,0,5,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.service,KafkaProducerService,13,0,0,0,5,0,2,0,2,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.service,VotoRealizadoConsumer,30,0,0,0,7,0,2,0,2,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.controller,PautaController,14,0,0,0,5,0,2,0,2,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.controller,VotoController,0,15,0,0,0,5,0,2,0,2
DesafioBackendSicredi,com.sicredi.desafio_sicredi.controller,KafkaController,15,0,0,0,5,0,2,0,2,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.controller,SessaoVotacaoController,0,42,0,0,0,16,0,4,0,4
DesafioBackendSicredi,com.sicredi.desafio_sicredi.config,SwaggerConfig,17,0,0,0,6,0,2,0,2,0
DesafioBackendSicredi,com.sicredi.desafio_sicredi.config,KafkaConfig,137,0,0,0,35,0,7,0,7,0
